10488 ms | 3128 calls | 3.35 ms/call | WITH input AS ( SELECT * FROM unnest($2::text[], $3::text[], $4::bigint[], $5::text[], $6::text[], $7::bigint[
6454 ms | 4671 calls | 1.38 ms/call | SELECT id, request_token, queue, partition_id, dispatch_epoch, dispatch_attempt, deadline, envelope, payload, 
3622 ms | 790 calls | 4.59 ms/call | INSERT INTO async_requests (id, request_token, queue, partition_id, deadline, envelope, payload, created_at) S
1352 ms | 1789 calls | 0.76 ms/call | SELECT r.id, r.request_token FROM async_requests r JOIN unnest($1::text[], $2::text[]) AS k(id, request_token)
797 ms | 825 calls | 0.97 ms/call | SELECT seq, route, id, request_token, payload FROM async_pop_results($1, $2)
215 ms | 825 calls | 0.26 ms/call | DELETE FROM async_results WHERE route = $1 AND expires_at > 0 AND expires_at < $2
12 ms | 3 calls | 4.09 ms/call | WITH stale AS MATERIALIZED ( SELECT r.ctid FROM async_requests r JOIN async_partitions p ON p.queue = r.queue 
5 ms | 14 calls | 0.38 ms/call | SELECT extract($1 from now())::int, $2, coalesce(max(age(backend_xmin)),$3), coalesce(max(extract($4 from now(
5 ms | 78 calls | 0.06 ms/call | UPDATE batch_items SET status = jsonb_set(COALESCE(status, '{}'::jsonb), '{request_counts}', $1::jsonb, true) 
2 ms | 100 calls | 0.02 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
2 ms | 2 calls | 1.02 ms/call | SELECT COUNT(*), COUNT(*) FILTER (WHERE deadline <= $2), COUNT(*) FILTER (WHERE deadline <= $3), COUNT(*) FILT
1 ms | 30 calls | 0.04 ms/call | UPDATE batch_items SET status = $1 WHERE id = $2 AND epoch = $3
1 ms | 20 calls | 0.06 ms/call | INSERT INTO file_items (id, tenant_id, expiry, tags, purpose, spec, status) VALUES ($1, $2, $3, $4, $5, $6, $7
1 ms | 3918 calls | 0.00 ms/call | commit
1 ms | 10 calls | 0.09 ms/call | INSERT INTO batch_items (id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, spec, 
