42263 ms | 3126 calls | 13.52 ms/call | WITH input AS ( SELECT * FROM unnest($2::text[], $3::text[], $4::bigint[], $5::text[], $6::text[], $7::bigint[
6122 ms | 4592 calls | 1.33 ms/call | SELECT id, request_token, queue, partition_id, dispatch_epoch, dispatch_attempt, deadline, envelope, payload, 
3055 ms | 790 calls | 3.87 ms/call | INSERT INTO async_requests (id, request_token, queue, partition_id, deadline, envelope, payload, created_at) S
1466 ms | 3163 calls | 0.46 ms/call | SELECT r.id, r.request_token FROM async_requests r JOIN unnest($1::text[], $2::text[]) AS k(id, request_token)
794 ms | 865 calls | 0.92 ms/call | SELECT seq, route, id, request_token, payload FROM async_pop_results($1, $2)
227 ms | 4 calls | 56.64 ms/call | SELECT COUNT(*), COUNT(*) FILTER (WHERE deadline <= $2), COUNT(*) FILTER (WHERE deadline <= $3), COUNT(*) FILT
22 ms | 1 calls | 22.15 ms/call | WITH stale AS MATERIALIZED ( SELECT r.ctid FROM async_requests r JOIN async_partitions p ON p.queue = r.queue 
18 ms | 865 calls | 0.02 ms/call | DELETE FROM async_results WHERE route = $1 AND expires_at > 0 AND expires_at < $2
10 ms | 26 calls | 0.40 ms/call | SELECT extract($1 from now())::int, $2, coalesce(max(age(backend_xmin)),$3), coalesce(max(extract($4 from now(
5 ms | 250 calls | 0.02 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
2 ms | 20 calls | 0.10 ms/call | INSERT INTO file_items (id, tenant_id, expiry, tags, purpose, spec, status) VALUES ($1, $2, $3, $4, $5, $6, $7
2 ms | 30 calls | 0.05 ms/call | UPDATE batch_items SET status = $1 WHERE id = $2 AND epoch = $3
1 ms | 3916 calls | 0.00 ms/call | commit
1 ms | 19 calls | 0.06 ms/call | UPDATE batch_items SET status = jsonb_set(COALESCE(status, '{}'::jsonb), '{request_counts}', $1::jsonb, true) 
1 ms | 47 calls | 0.02 ms/call | WITH claimed AS ( SELECT id FROM batch_items WHERE processor_id IS NULL AND status IS NOT NULL AND status::jso
