11492 ms | 3128 calls | 3.67 ms/call | WITH input AS ( SELECT * FROM unnest($2::text[], $3::text[], $4::bigint[], $5::text[], $6::text[], $7::bigint[
6311 ms | 4384 calls | 1.44 ms/call | SELECT id, request_token, queue, partition_id, dispatch_epoch, dispatch_attempt, deadline, envelope, payload, 
3109 ms | 790 calls | 3.94 ms/call | INSERT INTO async_requests (id, request_token, queue, partition_id, deadline, envelope, payload, created_at) S
2527 ms | 1017 calls | 2.48 ms/call | DELETE FROM async_results WHERE route = $1 AND expires_at > 0 AND expires_at < $2
1308 ms | 2029 calls | 0.64 ms/call | SELECT r.id, r.request_token FROM async_requests r JOIN unnest($1::text[], $2::text[]) AS k(id, request_token)
885 ms | 1017 calls | 0.87 ms/call | SELECT seq, route, id, request_token, payload FROM async_pop_results($1, $2)
37 ms | 2 calls | 18.62 ms/call | SELECT COUNT(*), COUNT(*) FILTER (WHERE deadline <= $2), COUNT(*) FILTER (WHERE deadline <= $3), COUNT(*) FILT
5 ms | 14 calls | 0.39 ms/call | SELECT extract($1 from now())::int, $2, coalesce(max(age(backend_xmin)),$3), coalesce(max(extract($4 from now(
3 ms | 3 calls | 0.90 ms/call | WITH stale AS MATERIALIZED ( SELECT r.ctid FROM async_requests r JOIN async_partitions p ON p.queue = r.queue 
2 ms | 90 calls | 0.03 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
2 ms | 30 calls | 0.07 ms/call | UPDATE batch_items SET status = $1 WHERE id = $2 AND epoch = $3
1 ms | 3918 calls | 0.00 ms/call | commit
1 ms | 20 calls | 0.06 ms/call | INSERT INTO file_items (id, tenant_id, expiry, tags, purpose, spec, status) VALUES ($1, $2, $3, $4, $5, $6, $7
1 ms | 32 calls | 0.03 ms/call | WITH claimed AS ( SELECT id FROM batch_items WHERE processor_id IS NULL AND status IS NOT NULL AND status::jso
1 ms | 10 calls | 0.08 ms/call | INSERT INTO batch_items (id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, spec, 
